City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yining,29.04,114.56,96.17,52,98,0.89,CN,1597818572
white rock,49.02,-122.8,64.99,83,52,1.01,CA,1597818572
oranjemund,-28.55,16.43,51.31,56,13,11.12,NA,1597818573
saint-philippe,-21.36,55.77,77,57,38,14.99,RE,1597818573
cidreira,-30.18,-50.21,61.32,96,33,10.74,BR,1597818573
husavik,66.04,-17.34,46.4,75,36,2.24,IS,1597818573
mishelevka,52.86,103.17,80.91,42,13,9.91,RU,1597818573
tiksi,71.69,128.87,40.06,89,100,11.81,RU,1597818573
dalby,-27.18,151.27,75,19,4,1.99,AU,1597818573
pemangkat,1.17,108.97,87.78,60,99,2.73,ID,1597818517
chapais,49.78,-74.85,51.8,93,90,9.17,CA,1597818308
hakkari,37.58,44.17,71.6,46,0,1.12,TR,1597818452
bengkulu,-3.8,102.27,87.13,60,36,9.57,ID,1597818332
soyo,-6.13,12.37,71.6,94,75,6.93,AO,1597818574
punta arenas,-53.15,-70.92,33.8,86,73,16.11,CL,1597818564
lichtenburg,-26.15,26.16,34.54,75,0,18.45,ZA,1597818575
atlantic city,39.36,-74.42,73,83,1,3.36,US,1597818575
nara,34.69,135.8,107.01,39,20,8.05,JP,1597818575
lompoc,34.64,-120.46,66.99,72,1,3.36,US,1597818575
vila franca do campo,37.72,-25.43,69.8,77,20,6.93,PT,1597818558
paciran,-6.88,112.38,87.58,52,1,7.27,ID,1597818575
bull savanna,17.89,-77.59,77.29,86,2,4.27,JM,1597818576
paravur,8.78,76.7,87.8,70,40,6.93,IN,1597818576
grindavik,63.84,-22.43,51.8,93,90,6.93,IS,1597818576
jiaocheng,24.68,116.14,91.06,59,36,6.35,CN,1597818576
kawalu,-7.38,108.21,82.36,61,96,5.48,ID,1597818577
atuona,-9.8,-139.03,78.94,73,7,23.09,PF,1597818475
high prairie,55.43,-116.49,56.95,68,24,2.46,CA,1597818577
college,64.86,-147.8,63,72,75,4.7,US,1597818577
port blair,11.67,92.75,86.14,69,69,15.46,IN,1597818577
taonan,45.33,122.78,71.74,39,100,12.59,CN,1597818577
marienburg,54.04,19.03,70,100,98,7.92,PL,1597818577
airai,-8.93,125.41,75.4,44,28,3.8,TL,1597818578
bathsheba,13.22,-59.52,82.4,78,40,18.34,BB,1597818578
touros,-5.2,-35.46,69.8,94,20,3.36,BR,1597818578
junction city,39.03,-96.83,66.99,88,1,8.93,US,1597818578
miandrivazo,-19.52,45.47,79.11,37,0,4.45,MG,1597818578
progreso,21.28,-89.67,77.97,83,2,4.9,MX,1597818578
ribeira brava,32.65,-17.07,69.8,73,20,5.82,PT,1597818578
kavaratti,10.57,72.64,86,70,20,6.93,IN,1597818578
assiniboia,49.63,-105.98,77.22,30,16,8.97,CA,1597818579
mandera,3.94,41.87,79.95,60,95,17.67,KE,1597818579
porangatu,-13.44,-49.15,71.69,42,50,2.75,BR,1597818579
torbay,47.67,-52.73,59,100,90,18.34,CA,1597818654
saldanha,-33.01,17.94,35.6,73,1,3.36,ZA,1597818654
xining,36.62,101.77,75.29,33,17,3.24,CN,1597818655
vardo,70.37,31.11,51.8,76,75,5.82,NO,1597818655
yerbogachen,61.28,108.01,72.48,30,0,5.39,RU,1597818655
mongomo,1.63,11.31,69.66,96,100,1.97,GQ,1597818655
bilma,18.69,12.92,92.62,13,0,13.04,NE,1597818656
north bend,43.41,-124.22,57,100,90,2.24,US,1597818562
mozarlandia,-14.74,-50.57,72.28,37,16,3.96,BR,1597818656
victoria,22.29,114.16,84,88,100,4,HK,1597818512
longyearbyen,78.22,15.64,44.6,70,75,13.87,SJ,1597818656
sosnovo-ozerskoye,52.52,111.54,67.6,44,0,7.94,RU,1597818656
eganville,45.53,-77.1,51.8,100,1,4.97,CA,1597818657
euclides da cunha,-10.51,-39.02,63.77,99,47,7.87,BR,1597818506
artesia,33.87,-118.08,75,88,1,4.7,US,1597818657
dillingen,49.35,6.73,63,88,100,2.91,DE,1597818657
neiafu,-18.65,-173.98,77,100,90,9.17,TO,1597818658
alexandria,31.22,29.96,80.6,61,40,5.82,EG,1597818658
hofn,64.25,-15.21,48.06,74,96,16.37,IS,1597818658
ornskoldsvik,63.29,18.72,60.8,93,12,3.36,SE,1597818658
wiang sa,8.64,99.37,93.99,67,90,3.94,TH,1597818658
west bay,19.37,-81.42,84,74,30,7.94,KY,1597818659
chumikan,54.72,135.31,60.96,52,93,12.33,RU,1597818659
barcelos,41.54,-8.62,68,88,40,12.75,PT,1597818659
santa isabel do rio negro,-0.41,-65.02,73.72,94,57,2.21,BR,1597818638
abha,18.22,42.51,80.6,44,43,10.29,SA,1597818659
cockburn town,21.46,-71.14,83.34,81,4,17.47,TC,1597818467
tilichiki,60.47,166.1,53.83,70,100,7.78,RU,1597818660
castro,-24.79,-50.01,57.61,98,100,3.71,BR,1597818639
kruisfontein,-34,24.73,48.99,86,50,3,ZA,1597818660
labuhan,-6.88,112.21,87.33,54,5,9.91,ID,1597818660
szecseny,48.08,19.52,71.01,93,75,4.38,HU,1597818660
carnarvon,-24.87,113.63,73.4,31,88,12.75,AU,1597818660
terre-de-bas,15.85,-61.64,80.6,78,28,6.93,GP,1597818661
vikhorevka,56.12,101.16,75.2,47,100,8.95,RU,1597818661
itarema,-2.92,-39.92,76.51,83,77,16.75,BR,1597818661
dikson,73.51,80.55,57.47,62,0,10.02,RU,1597818542
fereydun kenar,36.69,52.52,75.2,78,90,4.7,IR,1597818662
henties bay,-22.12,14.28,61.74,36,0,4.47,NA,1597818662
stornoway,58.21,-6.39,60.01,93,40,1.12,GB,1597818662
silvan,38.14,41.01,78.8,34,0,3.36,TR,1597818662
myitkyina,25.38,97.4,76.14,92,100,0.47,MM,1597818504
roald,62.58,6.13,64,93,75,5.82,NO,1597818662
ibresi,55.3,47.04,58.53,56,0,9.51,RU,1597818663
mulege,26.88,-111.98,89.51,51,52,9.51,MX,1597818663
ostrovnoy,68.05,39.51,54.57,63,0,0.85,RU,1597818663
whitianga,-36.83,175.7,57,96,100,7.92,NZ,1597818663
saint george,37.1,-113.58,95,16,1,5.82,US,1597818649
moron,-34.65,-58.62,48.99,57,95,3,AR,1597818558
stowe,40.25,-75.68,66.99,93,75,1.88,US,1597818424
bodden town,19.28,-81.25,84,72,36,5.01,KY,1597818664
hualmay,-11.1,-77.61,58.3,85,56,9.6,PE,1597818664
severo-kurilsk,50.68,156.12,50.05,91,100,15.35,RU,1597818664
umea,63.83,20.26,62.01,93,90,4.7,SE,1597818664
guerrero negro,27.98,-114.06,76.53,71,0,7,MX,1597818665
malkangiri,18.35,81.9,76.59,92,100,8.99,IN,1597818665
kahului,20.89,-156.47,80.6,61,1,12.75,US,1597818461
livingston,55.9,-3.52,57.99,100,90,3.36,GB,1597818665
medgyesegyhaza,46.5,21.03,68,94,90,2.24,HU,1597818665
okha,53.57,142.95,56.34,83,62,23.24,RU,1597818665
dwarka,22.24,68.97,84.43,81,100,22.64,IN,1597818666
amahai,-3.33,128.92,79.56,71,64,6.76,ID,1597818666
salalah,17.02,54.09,77,100,90,5.82,OM,1597818666
acapulco,16.86,-99.89,80.42,82,97,9.06,MX,1597818384
sibu,2.3,111.82,87.8,66,40,6.93,MY,1597818666
nuuk,64.18,-51.72,50,71,0,5.35,GL,1597818666
plettenberg bay,-34.05,23.37,49.39,78,100,9.26,ZA,1597818667
port elizabeth,-33.92,25.57,50,87,40,16.11,ZA,1597818667
new norfolk,-42.78,147.06,55.99,74,98,3,AU,1597818667
rochefort,45.92,-1,68,82,99,9.17,FR,1597818667
karpathos,35.51,27.21,78.8,65,0,31.09,GR,1597818667
rio novo,-21.46,-43.13,64,92,0,1.01,BR,1597818668
kavieng,-2.57,150.8,84.2,72,23,8.61,PG,1597818668
kalmunai,7.42,81.82,89.62,53,100,10.2,LK,1597818668
destin,30.39,-86.5,82.4,78,75,9.17,US,1597818668
nogliki,51.83,143.17,62.91,64,0,15.1,RU,1597818668
sayyan,15.17,44.32,73.8,30,40,5.61,YE,1597818669
nizwa,22.93,57.53,100.81,29,82,4.16,OM,1597818669
general roca,-39.03,-67.58,39.2,55,0,4.7,AR,1597818669
talnakh,69.49,88.4,73.4,31,3,13.42,RU,1597818669
banjar,-8.19,114.97,82.4,78,40,16.11,ID,1597818670
sumbe,-11.21,13.84,70.97,84,83,3.18,AO,1597818670
vila velha,-20.33,-40.29,75,88,20,6.93,BR,1597818670
port hardy,50.7,-127.42,55.4,100,75,3.36,CA,1597818670
puebloviejo,10.99,-74.28,80.6,88,40,4.7,CO,1597818670
comodoro rivadavia,-45.87,-67.5,33.8,50,0,10.29,AR,1597818671
balaipungut,1.05,101.28,87.8,62,40,11.41,ID,1597818671
kashi,39.45,75.98,77,38,40,2.24,CN,1597818671
bryan,30.67,-96.37,75.2,64,1,7.45,US,1597818450
cody,44.53,-109.06,77,31,20,10.29,US,1597818671
lieksa,63.32,30.02,60.19,70,95,7.85,FI,1597818671
maniitsoq,65.42,-52.9,50.5,68,0,7.16,GL,1597818671
cabo san lucas,22.89,-109.91,84,76,100,7.85,MX,1597818672
seymchan,62.88,152.43,58.82,60,100,9.44,RU,1597818672
two hills,53.72,-111.75,67.39,73,83,3.13,CA,1597818672
norman wells,65.28,-126.83,55.4,82,75,2.24,CA,1597818672
jizan,17.33,42.67,95,53,20,6.93,SA,1597818673
kendari,-3.94,122.5,83.62,55,29,7.74,ID,1597818673
kimbe,-5.55,150.14,84.49,65,35,1.83,PG,1597818673
murgab,37.5,61.97,86,22,0,11.41,TM,1597818673
zhanaozen,43.3,52.8,80.49,30,0,7.65,KZ,1597818673
ponta delgada,37.73,-25.67,69.8,77,20,6.93,PT,1597818673
qaanaaq,77.48,-69.36,44.04,81,100,5.41,GL,1597818674
sambava,-14.27,50.17,76.28,63,52,10.65,MG,1597818674
astana,51.18,71.45,60.8,77,75,13.42,KZ,1597818497
fort nelson,58.81,-122.7,51.8,100,40,5.23,CA,1597818674
ferrol,43.48,-8.24,70,82,20,19.46,ES,1597818674
luanda,-8.84,13.23,69.66,90,97,2.59,AO,1597818519
ararangua,-28.93,-49.49,62.82,90,100,3.53,BR,1597818674
karachi,24.91,67.08,89.6,66,75,17.22,PK,1597818448
alofi,-19.06,-169.92,75.2,94,100,12.75,NU,1597818675
camopi,3.17,-52.32,70.86,97,100,1.57,GF,1597818675
hami,42.8,93.45,98.85,8,17,7.76,CN,1597818675
oktyabrskiy,54.48,53.47,57.13,57,0,15.84,RU,1597818675
fukuma,33.77,130.47,104,50,40,9.17,JP,1597818675
karasjok,69.47,25.51,53.22,73,97,6.87,NO,1597818675
nikolskoye,59.7,30.79,63,62,0,8.95,RU,1597818676
valdosta,30.83,-83.28,71.6,94,1,2.91,US,1597818605
beringovskiy,63.05,179.32,52.21,67,64,2.95,RU,1597818676
kem,64.96,34.58,57.79,61,27,8.46,RU,1597818676
jonesboro,35.84,-90.7,73.4,69,1,5.82,US,1597818676
cairns,-16.92,145.77,80.01,57,30,8.05,AU,1597818676
waipawa,-41.41,175.52,53.6,93,100,6.93,NZ,1597818395
kalamare,-22.93,26.57,45.19,44,0,14.74,BW,1597818677
klaksvik,62.23,-6.59,50,76,100,4.7,FO,1597818677
aripuana,-9.17,-60.63,72.95,40,0,1.3,BR,1597818568
gwembe,-16.5,27.61,71.4,23,0,6.33,ZM,1597818677
mount gambier,-37.83,140.77,53.6,71,40,19.46,AU,1597818678
manacapuru,-3.3,-60.62,75.2,94,0,3.36,BR,1597818678
christchurch,-43.53,172.63,54,87,100,10.29,NZ,1597818580
zamosc,50.72,23.25,66.2,100,92,2.24,PL,1597818679
visegrad,43.78,19.3,57.2,100,75,6.93,BA,1597818679
ginir,7.13,40.7,63.32,75,100,7.58,ET,1597818679
sawtell,-30.38,153.1,75.2,22,13,10.29,AU,1597818679
coffs harbour,-30.3,153.13,75.2,22,26,10.29,AU,1597818669
yar-sale,66.83,70.83,62.31,61,100,17.98,RU,1597818680
storm lake,42.64,-95.21,60.8,87,1,6.93,US,1597818680
lazaro cardenas,17.96,-102.2,76.12,84,76,4,MX,1597818680
faanui,-16.48,-151.75,78.12,76,18,23.98,PF,1597818680
deputatskiy,69.3,139.9,36.1,84,100,5.64,RU,1597818680
talcahuano,-36.72,-73.12,44.6,70,43,9.17,CL,1597818434
teguldet,57.31,88.17,72.19,47,100,7.05,RU,1597818681
nago,26.59,127.98,91.4,63,40,11.41,JP,1597818681
requena,39.49,-1.1,68,64,0,0.34,ES,1597818681
kijang,35.24,129.21,91.4,59,20,16.11,KR,1597818681
olafsvik,64.89,-23.71,47.62,82,100,14.56,IS,1597818681
zonguldak,41.25,31.83,66.2,72,0,5.82,TR,1597818682
amapa,1,-52,70.32,98,30,1.63,BR,1597818682
aklavik,68.22,-135.01,50,81,40,2.24,CA,1597818682
kelvington,52.17,-103.53,67.69,57,0,5.84,CA,1597818682
yelanskiy,56.84,62.5,50.86,91,100,14.07,RU,1597818682
otyniya,48.74,24.86,66.2,82,100,3.06,UA,1597818682
ust-ordynskiy,52.8,104.75,80.6,42,0,13.42,RU,1597818683
orel,52.97,36.08,67.89,69,73,7.54,RU,1597818683
katsuura,35.13,140.3,93.99,49,75,13.87,JP,1597818683
gazojak,41.19,61.4,85.15,14,0,6.4,TM,1597818683
erzin,36.96,36.2,82,78,31,7,TR,1597818683
qui nhon,13.77,109.23,89.67,60,34,4.34,VN,1597818683
broome,42.25,-75.83,57,100,60,1.45,US,1597818683
maroantsetra,-15.43,49.73,73.69,70,25,2.13,MG,1597818684
churapcha,62,132.43,68.81,28,80,7.09,RU,1597818684
taltal,-25.4,-70.48,49.62,73,0,1.83,CL,1597818684
east wenatchee bench,47.43,-120.28,80.6,26,1,12.75,US,1597818684
kingston,18,-76.79,82.4,78,20,1.12,JM,1597818391
nioro,13.35,-15.75,77.95,91,100,5.91,GM,1597818685
hamilton,39.18,-84.53,66.2,82,90,6.93,US,1597818445
gitarama,-2.07,29.76,68,64,75,3.36,RW,1597818685
clyde river,70.47,-68.59,46.4,93,90,3.29,CA,1597818685
sakakah,29.97,40.21,84.2,26,0,10.29,SA,1597818685
santa cruz de la palma,28.68,-17.76,70,83,0,9.17,ES,1597818686
pechora,65.15,57.22,61,76,100,5.66,RU,1597818686
ceres,37.59,-120.96,93.2,21,40,10.29,US,1597818641
terrace,54.52,-128.6,53.6,81,20,3.36,CA,1597818686
walvis bay,-22.96,14.51,51.8,25,0,12.75,NA,1597818686
tamasane,-22.42,27.4,50,46,0,6.93,BW,1597818687
bilibino,68.05,166.44,51.48,62,65,7.36,RU,1597818687
san isidro,-12.12,-77.05,59,82,90,8.05,PE,1597818687
mineiros,-17.57,-52.55,70.66,34,0,7.09,BR,1597818687
mezhova,48.25,36.73,81.54,38,47,2.75,UA,1597818688
ixtapa,20.7,-105.2,75.99,95,100,3.13,MX,1597818653
agirish,61.92,63.02,54.99,96,100,7.94,RU,1597818688
luau,-10.71,22.22,75.69,20,11,4.83,AO,1597818688
togur,58.36,82.83,70.72,48,28,11.95,RU,1597818688
padang,-0.95,100.35,84.58,67,28,5.3,ID,1597818689
eyl,7.98,49.82,89.13,48,9,24.43,SO,1597818689
bilokurakyne,49.53,38.73,81.57,45,1,2.08,UA,1597818689
mont-dore,-22.28,166.58,73.4,60,0,5.82,NC,1597818689
chiknayakanhalli,13.42,76.62,82.18,60,91,11.54,IN,1597818689
vao,-22.67,167.48,68.92,56,0,1.54,NC,1597818689
abay,49.63,72.85,69.8,43,40,22.37,KZ,1597818690
avera,33.19,-82.53,69.8,88,75,3.06,US,1597818690
gigmoto,13.78,124.39,84.94,75,40,5.37,PH,1597818690
dzerzhinskoye,56.83,95.23,70.39,81,100,9.22,RU,1597818690
vanavara,60.34,102.28,78.13,29,0,7.63,RU,1597818690
isparta,38,31,75.2,47,0,2.75,TR,1597818691
media luna,20.14,-77.44,80.15,78,0,2.01,CU,1597818691
najran,17.49,44.13,95,15,9,2.24,SA,1597818691
cayenne,4.93,-52.33,78.8,100,16,3.36,GF,1597818525
saint-leu,-21.15,55.28,77,57,3,14.99,RE,1597818691
ketchikan,55.34,-131.65,57.2,100,90,6.93,US,1597818645
ballitoville,-29.54,31.21,59,33,0,5.82,ZA,1597818692
aleksandrov gay,50.15,48.57,72.95,30,14,0.4,RU,1597818692
havre-saint-pierre,50.23,-63.6,57.2,100,90,5.82,CA,1597818692
borogontsy,62.67,131.17,68.02,34,13,7.2,RU,1597818692
shieli,44.17,66.75,83.89,22,0,10.51,KZ,1597818692
bara,10.37,10.73,77.56,85,96,7.29,NG,1597818693
saint-joseph,-21.37,55.62,77,57,7,14.99,RE,1597818693
gouyave,12.16,-61.73,80.6,88,40,5.82,GD,1597818693
birao,10.28,22.79,75.47,89,100,7.67,CF,1597818693
lalibela,12.03,39.03,66.2,67,100,2.24,ET,1597818694
constitucion,-35.33,-72.42,45.25,75,0,9.66,CL,1597818694
naraini,25.18,80.48,82.4,94,75,1.36,IN,1597818694
hasaki,35.73,140.83,99,66,75,12.75,JP,1597818657
adrar,20.5,-10.07,92.05,16,50,13.35,MR,1597818694
sepuka,-4.75,34.53,72.7,46,72,10.89,TZ,1597818695
novyy urengoy,66.08,76.63,72.5,42,100,17.74,RU,1597818695
lima,-12.04,-77.03,59,82,90,8.05,PE,1597818404
tavricheskoye,54.59,73.64,62.6,67,75,13.42,RU,1597818695
xuzhou,34.18,117.16,91.85,64,100,6.73,CN,1597818695
majene,-3.54,118.97,86.7,50,77,13.62,ID,1597818581
binga,-17.62,27.34,70.92,22,0,10.31,ZW,1597818695
inirida,3.87,-67.92,73.54,94,100,2.21,CO,1597818696
marevo,57.31,32.08,65.68,56,7,5.48,RU,1597818696
villamontes,-21.25,-63.5,63.09,83,0,2.3,BO,1597818618
haines junction,60.75,-137.51,45.14,77,20,3.42,CA,1597818696
keti bandar,24.14,67.45,87.33,74,79,16.35,PK,1597818697
bridgetown,13.1,-59.62,82.4,78,40,18.34,BB,1597818697
lasa,46.62,10.7,51.8,100,20,3.36,IT,1597818435
santa rosa,14.31,121.11,86,70,65,10.29,PH,1597818697
maldonado,-34.67,-54.92,48.99,81,0,16.11,UY,1597818697
seydi,39.48,62.91,87.04,13,0,9.1,TM,1597818697
